# Height Profile
# ==============
#
# Datatype (Unit) : Not specified
# Fill value : -9999.0
# Time     : 2021-01-14 11:00:00
# Sector specification: None
Altitude [m MSL],u_wind,std_u_wind,np_u_wind,v_wind,std_v_wind,np_v_wind,w_wind,std_w_wind,np_w_wind,mag_h_wind,dir_h_wind,N valid
50.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
150.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
250.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
350.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
450.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
550.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
650.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
750.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
850.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
950.0,0.11471244223727946,2.236533644619894,49906,0.012345682106861173,2.236533644619894,49906,0.02113023471166714,1.779446146317819,7819,0.1153748684537705,186.14269268114313,49906
1050.0,13.568802179497904,2.703091183704042,56698,1.0703262859084341,2.703091183704042,56698,-8.97493425336599,1.4485731850698491,10663,13.61095114033746,184.51023286709284,56698
1150.0,14.286070624744013,2.9316658922250065,53544,0.5374018822173136,2.9316658922250065,53544,-17.239572544072303,1.3757434149406627,8574,14.296174826791415,182.15429065918326,53544
1250.0,15.975224346250522,3.612084686990629,50979,0.02255441549570209,3.612084686990629,50979,-22.757139614366487,1.0741261245529807,10665,15.975240267823636,180.08089225732658,50979
1350.0,17.445007978193626,2.065784469810818,29305,-0.7122580877344149,2.065784469810818,29305,-16.602520600811687,0.9822618748015864,9262,17.459542231764907,177.6619827971581,29305
1450.0,18.098969549487645,2.3783136431374863,34537,-1.5558735881689931,2.3783136431374863,34537,-10.880890675486027,0.974721651677101,10657,18.16572160349384,175.08666135260884,34537
1550.0,18.885026243342093,1.4310235481502578,17137,-2.8328240688040385,1.4310235481502578,17137,-1.5403631384742114,0.9095277959263418,9151,19.096311382476852,171.46902629603898,17137
1650.0,18.739817469363334,1.674908373286952,17714,-3.751099866976166,1.674908373286952,17714,9.11430381758739,1.2255654425335203,9884,19.11155433231645,168.68084738257136,17714
1750.0,18.259579846643867,1.7034577585447153,15880,-5.317948653503766,1.7034577585447153,15880,17.247717519464565,1.2154729362182606,8341,19.01822373559806,163.76224471151238,15880
1850.0,17.750620221729704,1.447230242109893,12223,-6.741653513017969,1.447230242109893,12223,28.518887489230256,1.12439020376313,8308,18.9877436875914,159.2033132979929,12223
1950.0,16.986981551157854,1.188603698118137,11104,-8.026666409892107,1.188603698118137,11104,37.259999031136815,1.188603698118137,11104,18.787892800286773,154.70838981134443,11104
2050.0,16.051792863849865,0.9103743108090482,8422,-8.699805119758324,0.9103743108090482,8422,51.76886694028124,0.9103743108090482,8422,18.25778363508875,151.54304285222577,8422
2150.0,15.754514544218512,0.7946951651559631,9962,-9.066105935175774,0.7946951651559631,9962,55.08508169245153,0.7946951651559631,9962,18.17688106776908,150.08125931663847,9962
2250.0,15.287749698835574,0.8727785504955253,9858,-9.930823176940951,0.8727785504955253,9858,34.2240406227535,0.8727785504955253,9858,18.23009983038806,146.99250768141167,9858
2350.0,15.005603383997224,0.8495235949264107,7693,-10.248519714623797,0.8495235949264107,7693,23.652641770656846,0.8495235949264107,7693,18.171414068774656,145.66772429908508,7693
2450.0,14.971260981542668,1.0551616024863857,11320,-10.445570685318478,1.0551616024863857,11320,16.017965778262308,1.0551616024863857,11320,18.255097981644653,145.0962047790977,11320
2550.0,14.69879101973802,1.1113686649392334,6405,-10.869502352469992,1.1113686649392334,6405,2.864865064999015,1.1113686649392334,6405,18.281152557546303,143.51771355590273,6405
2650.0,14.7146088527822,1.126117231224994,4202,-11.228028898167159,1.126117231224994,4202,-7.252829654883459,1.126117231224994,4202,18.50914224453562,142.65444309154105,4202
2750.0,14.857658893548464,1.0972258222324078,3519,-11.506704753393786,1.0972258222324078,3519,-9.159942848124667,1.0972258222324078,3519,18.792399582778536,142.24354868736498,3519
2850.0,15.615441205949205,1.114154092713031,4164,-11.397969233752354,1.114154092713031,4164,-11.814581088491517,1.114154092713031,4164,19.33276252143034,143.87367449561162,4164
2950.0,16.556597930830968,1.1481823187119429,4851,-11.496586043337867,1.1481823187119429,4851,-10.057588585327085,1.1481823187119429,4851,20.156696795235753,145.22462341956083,4851
3050.0,17.669989276305884,1.143650779784552,4788,-11.856048220449974,1.143650779784552,4788,-5.4325304042099765,1.143650779784552,4788,21.278966150412476,146.13953929387029,4788
3150.0,18.500737947674974,1.1350714103525517,3343,-12.558369627189947,1.1350714103525517,3343,0.46893671087397976,1.1350714103525517,3343,22.36045510050428,145.83119357508613,3343
3250.0,18.347770876912474,1.238745692045309,1312,-12.503228678540735,1.238745692045309,1312,-1.6157499270256104,1.238745692045309,1312,22.20295979232411,145.72722720202574,1312
3350.0,19.130961916735888,1.560032849476135,2690,-13.621024093830739,1.560032849476135,2690,6.154060336753552,1.560032849476135,2690,23.484590718688633,144.5495727343956,2690
3450.0,19.192926509579582,1.8632054848124027,3257,-14.263400814884653,1.8632054848124027,3257,7.649560677725353,1.8632054848124027,3257,23.91261237941549,143.38177272800112,3257
3550.0,19.450648616601992,1.8633563424186372,2624,-15.09517173412162,1.8633563424186372,2624,9.097532523454568,1.8633563424186372,2624,24.620965482473373,142.18583748270214,2624
3650.0,19.165322550659475,2.0752589878409955,2592,-15.75453769197105,2.0752589878409955,2592,11.849561211417695,2.0752589878409955,2592,24.809575698881936,140.57864895159778,2592
3750.0,18.86076022919331,2.3680097564225897,1881,-15.42149815246154,2.3680097564225897,1881,13.530754455704239,2.3680097564225897,1881,24.362899697890946,140.7288547472506,1881
3850.0,18.142507705896577,2.4644792061523617,1849,-15.89127613410781,2.4644792061523617,1849,22.142000042545913,2.4644792061523617,1849,24.11811027068624,138.7844289637125,1849
3950.0,18.24688689295388,2.107291694867647,1235,-17.145871656925284,2.107291694867647,1235,21.24075221924493,2.107291694867647,1235,25.038566176201183,136.7818104932181,1235
4050.0,18.201688080167724,2.1901329790355843,2426,-16.76568193143711,2.1901329790355843,2426,23.399807060237404,2.1901329790355843,2426,24.7465056036976,137.35164626122804,2426
4150.0,18.03306200400449,2.275117599207462,1819,-17.27224565387945,2.275117599207462,1819,22.695253417356067,2.275117599207462,1819,24.97041840194569,136.23451182946746,1819
4250.0,18.103349093050635,2.196011061205918,1224,-17.581366035994712,2.196011061205918,1224,20.70439613432025,2.196011061205918,1224,25.235603422079798,135.83804209273586,1224
4350.0,17.960143280442633,2.1945717102368696,1839,-17.791727954893837,2.1945717102368696,1839,19.946343606098274,2.1945717102368696,1839,25.28067108039222,135.2698996066887,1839
4450.0,17.719801910986135,2.0524455543875013,1788,-17.990445139731943,2.0524455543875013,1788,20.00205224129942,2.0524455543875013,1788,25.25168303480567,134.56577119583605,1788
4550.0,15.801411371794703,2.8839426662624588,547,-17.914480729308853,2.8839426662624588,547,19.18186745329351,2.8839426662624588,547,23.887511823994167,131.41380355305807,547
4650.0,14.57269698751778,3.625354950460323,513,-18.078054197565876,3.625354950460323,513,22.424000015471744,3.625354950460323,513,23.220239901003154,128.87224414681125,513
4750.0,16.02270983689368,3.003339639754057,469,-17.886572984591425,3.003339639754057,469,25.37168659999213,3.003339639754057,469,24.013677845144944,131.85383680652515,469
4850.0,12.555893990106664,4.837466819137955,449,-17.64592800377337,4.837466819137955,449,27.95256910752746,4.837466819137955,449,21.65708311396412,125.43361046151162,449
4950.0,11.460513907226693,5.093925735268239,845,-14.64649945568819,5.093925735268239,845,33.61256435174181,5.093925735268239,845,18.59740103679035,128.04227768237084,845
