# Height Profile
# ==============
#
# Datatype (Unit) : Not specified
# Fill value : -9999.0
# Time     : 2021-01-14 11:30:00
# Sector specification: None
Altitude [m MSL],u_wind,std_u_wind,np_u_wind,v_wind,std_v_wind,np_v_wind,w_wind,std_w_wind,np_w_wind,mag_h_wind,dir_h_wind,N valid
50.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
150.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
250.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
350.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
450.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
550.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
650.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
750.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
850.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
950.0,0.07589720345811063,2.247677294122936,50215,0.006802082012839389,2.247677294122936,50215,0.011167616837007814,1.7783880754123311,7777,0.07620140295605608,185.12129715607685,50215
1050.0,11.751679683074999,2.6794286247029486,57203,0.6446558266909995,2.6794286247029486,57203,-17.2579520943225,1.397551691536612,10703,11.769348176873873,183.1398979643168,57203
1150.0,12.881308270713921,3.001240474721687,54190,0.21384289202625148,3.001240474721687,54190,-22.020412703298668,1.518880747689694,8530,12.883083153796417,180.9510811765192,54190
1250.0,14.36528397033236,3.6493058985441023,51800,-0.14712626898105433,3.6493058985441023,51800,-24.073794291019702,1.415604289338642,10586,14.366037368993307,179.41320898626145,51800
1350.0,16.105147478364973,2.3627014161055087,29055,-0.7720743893212182,2.3627014161055087,29055,-16.4447144367284,1.3783942830855942,9174,16.123643327813085,177.25536432250232,29055
1450.0,16.90830349046143,2.394386838720259,30212,-1.4733604229870516,2.394386838720259,30212,-12.108345372886825,1.1631939953599966,10553,16.972375139077464,175.01992381137487,30212
1550.0,17.593200751653796,1.8449866117058797,21088,-2.41466076162683,1.8449866117058797,21088,0.7116291549371404,1.2242456729965752,9124,17.75813332762574,172.18500143348058,21088
1650.0,17.793292004088144,1.717123046954975,17930,-3.6789458663297117,1.717123046954975,17930,11.621956557365005,1.3729360077226325,9914,18.169641796968136,168.31811884590462,17930
1750.0,17.501988328138605,1.7183907378892287,16378,-5.127184510814876,1.7183907378892287,16378,19.06523040896245,1.436685015514647,8332,18.237533178756383,163.67212307976507,16378
1850.0,17.130407969222528,1.4048387138975826,12327,-6.517104727202723,1.4048387138975826,12327,29.3221406917587,1.1822954585247847,8403,18.32821680407919,159.17114707588217,12327
1950.0,16.450423098197504,1.5857296181559226,11031,-7.855132239646116,1.5857296181559226,11031,32.69031508328114,1.5857296181559226,11031,18.22963309043925,154.4753680536482,11031
2050.0,15.831188548974497,1.177949940528863,8374,-8.636395728431557,1.177949940528863,8374,40.606429497500436,1.177949940528863,8374,18.03368686794944,151.38618777679392,8374
2150.0,15.607708464257373,0.9867817109837037,9890,-8.756116725030441,0.9867817109837037,9890,46.41840065805212,0.9867817109837037,9890,17.896092970467297,150.7070380106921,9890
2250.0,15.098623767706524,1.091990916775552,9192,-9.408787136578196,1.091990916775552,9192,29.407345974108786,1.091990916775552,9192,17.790270235726933,148.070684929682,9192
2350.0,14.865787756697703,1.0140451036693008,8480,-9.703455632387708,1.0140451036693008,8480,25.176589058472654,1.0140451036693008,8480,17.752427913862938,146.8660127452958,8480
2450.0,14.728741618318912,1.0364751418511045,11336,-9.962857896827664,1.0364751418511045,11336,15.957311360220157,1.0364751418511045,11336,17.781854996922593,145.92467988130454,11336
2550.0,14.454530807985773,1.1427677293017082,6329,-10.487339010320193,1.1427677293017082,6329,4.38321784595036,1.1427677293017082,6329,17.85826812421612,144.0376166056776,6329
2650.0,14.224666611110221,1.3185100401844236,3384,-11.169041912743998,1.3185100401844236,3384,-5.819709742570472,1.3185100401844236,3384,18.085591984943875,141.86141133482442,3384
2750.0,14.305521604007886,1.446320790006808,4049,-12.003577873428407,1.446320790006808,4049,-7.800075394387335,1.446320790006808,4049,18.674416460125236,140.0004231265951,4049
2850.0,14.985236649198313,1.4164215840843224,4002,-12.345032344817113,1.4164215840843224,4002,-10.437913242026339,1.4164215840843224,4002,19.41538413287404,140.51786040223095,4002
2950.0,15.822266240089315,1.2929411004793594,4527,-12.373481516799671,1.2929411004793594,4527,-16.919149165395016,1.2929411004793594,4527,20.085993971393428,141.9735379372788,4527
3050.0,16.602258748400626,1.4729080603614535,4531,-13.016425949486136,1.4729080603614535,4531,-11.014138640543953,1.4729080603614535,4531,21.096500658813092,141.90300870585287,4531
3150.0,16.7340026026744,1.6525831825492832,1290,-14.24583879583013,1.6525831825492832,1290,-2.9921188472793494,1.6525831825492832,1290,21.976595871587858,139.59188699891862,1290
3250.0,17.661547356333113,1.9523577727109163,3260,-14.23270928045513,1.9523577727109163,3260,1.6402724418793857,1.9523577727109163,3260,22.68259836266451,141.1360982663988,3260
3350.0,17.974596493672088,2.062733752302684,2578,-15.065274164778115,2.062733752302684,2578,7.244212604227421,2.062733752302684,2578,23.45311503340782,140.03219462703802,2578
3450.0,18.003462677231152,2.022062066358365,3209,-15.540561155325854,2.022062066358365,3209,12.433142582019526,2.022062066358365,3209,23.78305508955647,139.19929051938456,3209
3550.0,18.566524853901296,2.2813608681682043,2575,-16.11976756535712,2.2813608681682043,2575,13.560043602757782,2.2813608681682043,2575,24.58785780647989,139.03493798782526,2575
3650.0,18.59792505368155,2.35947720068594,2527,-16.294807026242978,2.35947720068594,2527,14.26801163723097,2.35947720068594,2527,24.726575830972905,138.77636822765916,2527
3750.0,18.2236864716652,2.3523277861081526,1857,-16.44264920858589,2.3523277861081526,1857,19.716702415989282,2.3523277861081526,1857,24.54513111829235,137.94107447775693,1857
3850.0,18.377768758114517,2.2572990619421036,1885,-16.69910695539658,2.2572990619421036,1885,17.13975063783855,2.2572990619421036,1885,24.831483194414794,137.73989371683115,1885
3950.0,18.257376506999304,2.2712953897627175,1845,-16.704595965311388,2.2712953897627175,1845,17.533945255276862,2.2712953897627175,1845,24.74621836326972,137.54302994273385,1845
4050.0,18.175024783007288,2.05615813679731,2375,-16.925380396775083,2.05615813679731,2375,20.794775402358187,2.05615813679731,2375,24.8354590744457,137.0389827715901,2375
4150.0,17.85616371120324,2.1931727916581383,1185,-16.763725836350723,2.1931727916581383,1185,15.957362148136628,2.1931727916581383,1185,24.49214336062943,136.80738060885085,1185
4250.0,16.877707847275946,3.0781117744750506,552,-15.965191319817963,3.0781117744750506,552,22.982754412440546,3.0781117744750506,552,23.232398844208724,136.59151291900312,552
4350.0,17.325692636030116,3.655426676181878,1749,-15.984571152488028,3.655426676181878,1749,23.62221427356343,3.655426676181878,1749,23.572995996418033,137.3055693099483,1749
4450.0,17.329920228673128,3.487495103656554,1657,-15.751243447959428,3.487495103656554,1657,21.6739029530677,3.487495103656554,1657,23.418535506923973,137.73215745435553,1657
4550.0,17.79590528623379,2.0113716705392273,527,-16.29279840517696,2.0113716705392273,527,9.727297597229125,2.0113716705392273,527,24.127774966381395,137.52476396176593,527
4650.0,10.579065154785619,5.1933330807052585,564,-8.626481720447018,5.1933330807052585,564,71.51521827956395,5.1933330807052585,564,13.650377519409703,140.8051825283911,564
4750.0,10.922742270824813,5.410521584630602,1015,-9.835529808351204,5.410521584630602,1015,57.51873015225317,5.410521584630602,1015,14.698433431009859,137.99812141759062,1015
4850.0,8.105772870118207,4.931847000340097,934,-6.731893373677127,4.931847000340097,934,58.900551351609906,4.931847000340097,934,10.536695032907726,140.29016356381726,934
4950.0,10.02176052903101,5.61545654709358,484,-8.165802514174068,5.61545654709358,484,63.09773552067582,5.61545654709358,484,12.92733595145324,140.8266046578675,484
