# Height Profile
# ==============
#
# Datatype (Unit) : Not specified
# Fill value : -9999.0
# Time     : 2021-01-14 12:00:00
# Sector specification: None
Altitude [m MSL],u_wind,std_u_wind,np_u_wind,v_wind,std_v_wind,np_v_wind,w_wind,std_w_wind,np_w_wind,mag_h_wind,dir_h_wind,N valid
50.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
150.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
250.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
350.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
450.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
550.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
650.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
750.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
850.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
950.0,0.15590623034527937,1.9596684090108545,50848,0.0013468576980557342,1.9596684090108545,50848,0.09740914145857803,1.080357817242279,7885,0.1559120479184791,180.49495996337612,50848
1050.0,10.59783006755795,2.785774322095709,57379,0.29023741429655076,2.785774322095709,57379,-19.695058111760794,1.1795129037805767,10729,10.60180361530494,181.56873843078117,57379
1150.0,11.754013109322518,3.1171802290954718,53980,0.3310442379201015,3.1171802290954718,53980,-17.270961340565847,1.3651917738179113,8572,11.75867400949553,181.6132723936157,53980
1250.0,13.500456508435665,3.6470595630641602,51652,0.041029869566955694,3.6470595630641602,51652,-14.732087842439073,1.106898477896934,10717,13.500518856190661,180.17412975042424,51652
1350.0,15.177561761125514,2.5020632136422702,29221,-0.542669161186601,2.5020632136422702,29221,-10.295096400359789,1.017597686900275,9265,15.187260148930168,177.95227892001722,29221
1450.0,16.098829833126505,2.6371445949015233,30307,-1.3132517050999197,2.6371445949015233,30307,-3.552003402777709,1.1678786859399881,10579,16.15230485215382,175.33645960567918,30307
1550.0,16.647227045635546,1.8306383676207936,21401,-2.3286784913628895,1.8306383676207936,21401,4.1882637966367815,1.061079173518591,9257,16.80931027214013,172.03691573927438,21401
1650.0,16.831002519064313,1.6461600234330878,17906,-3.5978155580284445,1.6461600234330878,17906,14.363382131080977,1.3449370977219473,10010,17.211244074335266,167.93397823334516,17906
1750.0,16.602733740686606,1.7693120837866085,16522,-4.981175832749413,1.7693120837866085,16522,19.58237063707189,1.2936266917933832,8428,17.33386512988088,163.2996295784913,16522
1850.0,16.393326656144513,1.479497029165437,12312,-6.423878638207449,1.479497029165437,12312,27.304100801184738,1.165926467886017,8292,17.607026313761114,158.6018052305368,12312
1950.0,15.885816571481952,1.884042503951596,10954,-7.915823965531574,1.884042503951596,10954,26.768914987308573,1.884042503951596,10954,17.748786921816787,153.51315067249442,10954
2050.0,15.14841691842473,1.1540437593719306,8337,-8.467208880178369,1.1540437593719306,8337,34.947957047716514,1.1540437593719306,8337,17.354197225887113,150.79698881960184,8337
2150.0,14.830779772738898,0.868338878383336,9929,-8.664200189957025,0.868338878383336,9929,40.52773243101667,0.868338878383336,9929,17.176157707681092,149.70635860058175,9929
2250.0,14.406787443104598,0.9017636590274869,9063,-9.454813840208168,0.9017636590274869,9063,26.716630436684827,0.9017636590274869,9063,17.232209062792506,146.7241124544438,9063
2350.0,14.267567197468876,0.8717582650868835,8464,-9.789741911688113,0.8717582650868835,8464,23.109511700709604,0.8717582650868835,8464,17.303251730000135,145.5438954134587,8464
2450.0,14.221538795194556,0.9917804029571191,11202,-9.92941326103876,0.9917804029571191,11202,19.46132014232699,0.9917804029571191,11202,17.344895889330562,145.07743111866404,11202
2550.0,14.058422149713142,0.9263150659193624,6291,-10.842903804009017,0.9263150659193624,6291,8.863461149063063,0.9263150659193624,6291,17.754092380139806,142.3579106946586,6291
2650.0,14.007027770912407,0.9607920249629642,3413,-11.710317569845916,0.9607920249629642,3413,1.9889533310801835,0.9607920249629642,3413,18.257282507584566,140.1033116201925,3413
2750.0,14.333924227481754,0.9053879329858385,4062,-12.329540213019763,0.9053879329858385,4062,-3.4791397391961763,0.9053879329858385,4062,18.90711362486775,139.29903429099045,4062
2850.0,15.020875710310898,0.9693090718534206,3984,-12.262852572264066,0.9693090718534206,3984,-9.328139222911197,0.9693090718534206,3984,19.390829283805562,140.77223558640802,3984
2950.0,15.596749796030178,1.1591862857387643,4657,-12.484907224096869,1.1591862857387643,4657,-12.182211180737731,1.1591862857387643,4657,19.978276016570437,141.32337927579334,4657
3050.0,16.213265775808225,1.199638691567507,4501,-12.872624381815061,1.199638691567507,4501,-11.177502725704215,1.199638691567507,4501,20.70203964811907,141.5519608080398,4501
3150.0,16.04534199461259,1.4444446056355331,1204,-13.126634869495946,1.4444446056355331,1204,-7.44460699872309,1.4444446056355331,1204,20.730690840421722,140.71352841154945,1204
3250.0,16.910021868563053,1.7367926754501422,3037,-13.594197656960302,1.7367926754501422,3037,-1.3056694288042043,1.7367926754501422,3037,21.69679814008937,141.2037229696446,3037
3350.0,17.98440667402061,1.9060954175433698,1851,-14.49616738630126,1.9060954175433698,1851,5.912807798208336,1.9060954175433698,1851,23.09930198746753,141.12976508281923,1851
3450.0,18.092447816182794,1.695088163973065,3013,-15.309997414904213,1.695088163973065,3013,13.064331551534195,1.695088163973065,3013,23.700900591025466,139.7617905040225,3013
3550.0,18.539900770085698,1.253535763908079,1819,-15.962433024805897,1.253535763908079,1819,15.682714857438802,1.253535763908079,1819,24.46481531988415,139.2722971902068,1819
3650.0,18.500018474304248,1.218409343132913,1234,-15.99098875242163,1.218409343132913,1234,16.889440681099778,1.218409343132913,1234,24.453269818772164,139.16062191293904,1234
3750.0,18.30697754979526,1.580004114403003,1228,-16.211811418230337,1.580004114403003,1228,20.024430586802637,1.580004114403003,1228,24.453389467903445,138.47338620341944,1228
3850.0,18.498545278516357,1.0064087055606188,615,-16.39816293460462,1.0064087055606188,615,15.465017760839178,1.0064087055606188,615,24.720354468558103,138.44439473411435,615
3950.0,18.54822137893634,1.7461869380050612,1734,-16.233286001377394,1.7461869380050612,1734,13.252392920633715,1.7461869380050612,1734,24.648652919065302,138.80779060272766,1734
4050.0,18.114678280577575,2.394658134464799,1130,-16.049592469753264,2.394658134464799,1130,13.828383558530907,2.394658134464799,1130,24.20187983719425,138.4590790707633,1130
4150.0,17.432156450474228,4.298206892627186,1050,-15.52051599234285,4.298206892627186,1050,14.699450497282598,4.298206892627186,1050,23.340233400340715,138.32010430730492,1050
4250.0,17.78238828299203,2.75147100022703,1087,-15.374165643953363,2.75147100022703,1087,18.659488493637244,2.75147100022703,1087,23.50698411738112,139.15420505657792,1087
4350.0,17.86757116691809,3.2294674606569695,1051,-14.958095969349277,3.2294674606569695,1051,21.346726382048693,3.2294674606569695,1051,23.302247411637055,140.06512665055936,1051
4450.0,18.45298106991063,2.409477058393084,525,-16.157227434136843,2.409477058393084,525,17.127259442204437,2.409477058393084,525,24.526893580820715,138.79496660841275,525
4550.0,17.26080373204019,2.856800649292775,463,-15.785769030150089,2.856800649292775,463,9.239676131227222,2.856800649292775,463,23.390721437126693,137.5557023961363,463
4650.0,10.322618008877097,5.283467425959045,479,-8.756404885796064,5.283467425959045,479,65.11971322900095,5.283467425959045,479,13.536287123180674,139.6929361149965,479
4750.0,8.602219790252496,5.460307428716549,431,-7.343587015598227,5.460307428716549,431,46.06454775968972,5.460307428716549,431,11.31045779690082,139.51310748007734,431
4850.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
4950.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
