# Height Profile
# ==============
#
# Datatype (Unit) : Not specified
# Fill value : -9999.0
# Time     : 2021-01-14 10:45:00
# Sector specification: None
Altitude [m MSL],u_wind,std_u_wind,np_u_wind,v_wind,std_v_wind,np_v_wind,w_wind,std_w_wind,np_w_wind,mag_h_wind,dir_h_wind,N valid
50.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
150.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
250.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
350.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
450.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
550.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
650.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
750.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
850.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
950.0,0.11745716390740435,2.188722644176042,49903,0.010015650479182788,2.188722644176042,49903,0.026006778692172137,1.2459285142602519,7789,0.11788341107930328,184.87385928967407,49903
1050.0,13.899312172453719,2.641395233465631,56705,0.8417535945689979,2.641395233465631,56705,-8.943059763019283,1.4326621473967758,10727,13.924777484085336,183.46564603426015,56705
1150.0,14.585920247356077,2.9286281170263617,53869,0.43438061859649035,2.9286281170263617,53869,-14.43833405656431,1.2631198932012973,8602,14.592386918665644,181.70581093882242,53869
1250.0,16.226923074992047,3.6309438663606906,50866,0.03606792561736186,3.6309438663606906,50866,-16.525816607569983,0.997447954282334,10711,16.226963159413646,180.1273523329646,50866
1350.0,17.75980422342915,2.204742745590628,29303,-0.6788523810086599,2.204742745590628,29303,-12.100736332410271,0.9031855391144331,9341,17.772773745528102,177.81098657712596,29303
1450.0,18.50054939802135,2.3917412352013203,30451,-1.6674791286481172,2.3917412352013203,30451,-6.696275379272159,0.9148945110219594,10741,18.57554345565979,174.84977131749673,30451
1550.0,19.110482390138795,1.852769661191883,21392,-2.93018494962328,1.852769661191883,21392,0.9106279717050065,0.8780017206998284,9293,19.333818066352123,171.28280378942338,21392
1650.0,18.877089601553777,1.6375856052424875,17874,-3.9633082718406136,1.6375856052424875,17874,12.679416099886813,1.250067863403385,10002,19.288657918132355,168.1427806486421,17874
1750.0,18.429115619845746,1.7681344378194346,16012,-5.697966953618719,1.7681344378194346,16012,15.342149940281834,1.3223238863094933,8518,19.289871174639124,162.8192867531888,16012
1850.0,17.76010269055225,1.5031377157539436,12252,-7.136312993888314,1.5031377157539436,12252,24.551916888414723,1.169796581619635,8448,19.14022493926601,158.1088948286879,12252
1950.0,16.960948533772907,1.2153268045119552,10940,-8.347912813252144,1.2153268045119552,10940,30.594718135592785,1.2153268045119552,10940,18.904005488333752,153.79431226669857,10940
2050.0,16.117017397491047,0.974690676733223,8495,-9.122718852621636,0.974690676733223,8495,39.928447214850245,0.974690676733223,8495,18.51977994078243,150.48882771389194,8495
2150.0,15.702352695162432,0.8455600957112267,10030,-9.226685214753559,0.8455600957112267,10030,49.662240885252444,0.8455600957112267,10030,18.212512188477096,149.56155174920605,10030
2250.0,15.17351527373959,0.8619582599110278,9103,-10.026128284876904,0.8619582599110278,9103,34.93996020336844,0.8619582599110278,9103,18.186775804062062,146.54466665810702,9103
2350.0,14.861478412682327,0.8356017706052716,8382,-10.329252781109268,0.8356017706052716,8382,26.810200187818353,0.8356017706052716,8382,18.098535952575734,145.19933396599708,8382
2450.0,14.710299318868703,0.9863550093372272,11268,-10.587655512092633,0.9863550093372272,11268,14.189414497930173,0.9863550093372272,11268,18.12433047848815,144.2557589201897,11268
2550.0,14.732488287420736,1.010584514677986,6401,-10.756279933715332,1.010584514677986,6401,4.123812290682129,1.010584514677986,6401,18.24126555783442,143.8665893868156,6401
2650.0,14.852374256275834,1.153899327154998,3535,-10.929902234105889,1.153899327154998,3535,-4.52685256456729,1.153899327154998,3535,18.440601505796877,143.65054815152487,3535
2750.0,15.03309027588779,1.2262030957767054,4238,-11.072249923743865,1.2262030957767054,4238,-8.30487200961832,1.2262030957767054,4238,18.67052547779087,143.62741775280261,4238
2850.0,15.837855539422899,1.2227964043434372,4174,-11.033099047178228,1.2227964043434372,4174,-11.116599855524964,1.2227964043434372,4174,19.30199323055714,145.13783746626805,4174
2950.0,16.91158901259071,1.0680368318883693,4819,-11.147272349617218,1.0680368318883693,4819,-11.473978540877933,1.0680368318883693,4819,20.254962941642706,146.60912981384922,4819
3050.0,17.94687367820037,1.0203151940208786,4747,-11.492779186173012,1.0203151940208786,4747,-9.316623433748694,1.0203151940208786,4747,21.311364298031528,147.36540386019777,4747
3150.0,18.331706944954927,1.0747159339046484,1342,-11.841302614262952,1.0747159339046484,1342,-8.011591438673081,1.0747159339046484,1342,21.823563575141876,147.13970127896775,1342
3250.0,19.026630083272284,1.295404382358111,3393,-11.987783668349845,1.295404382358111,3393,-1.802937057622323,1.295404382358111,3393,22.488210458034164,147.78690211510053,3393
3350.0,19.45203904409917,1.1186478801174529,2746,-12.65948642736334,1.1186478801174529,2746,0.3379251157221031,1.1186478801174529,2746,23.20871430255789,146.94371593276483,2746
3450.0,19.596605620050358,1.724632237101286,3336,-13.347482755193736,1.724632237101286,3336,2.5310901075556727,1.724632237101286,3336,23.710382698893397,145.7407540143028,3336
3550.0,19.686859957977454,1.926401717492918,2692,-14.23853395305889,1.926401717492918,2692,5.142248087472361,1.926401717492918,2692,24.296261114365453,144.12364125821586,2692
3650.0,19.514906371878375,1.951161722483465,2676,-14.945159375300735,1.951161722483465,2676,7.476367373990631,1.951161722483465,2676,24.580263616493593,142.55391568676075,2676
3750.0,18.95646438179948,2.6040134210607286,1981,-14.471789731981122,2.6040134210607286,1981,14.813969558738421,2.6040134210607286,1981,23.849114027676304,142.64107461230805,1981
3850.0,18.80600617581028,2.7655766990139568,1970,-15.49572903168254,2.7655766990139568,1970,17.186657450630786,2.7655766990139568,1970,24.367672980979194,140.51223966130866,1970
3950.0,18.462530713161403,2.6995547287630597,1919,-15.725321474283433,2.6995547287630597,1919,21.851072137228922,2.6995547287630597,1919,24.25182005136909,139.57755326433252,1919
4050.0,18.571402618671385,2.6613528980361414,2471,-16.69469096984127,2.6613528980361414,2471,20.776284404168983,2.6613528980361414,2471,24.9721785554103,138.04616459971962,2471
4150.0,18.02083237023241,2.564783489936962,1868,-16.844470152554514,2.564783489936962,1868,25.128243621918866,2.564783489936962,1868,24.667520630098117,136.93243788330233,1868
4250.0,18.28131508410447,1.94419012171801,1272,-17.40297429368847,1.94419012171801,1272,24.22940381066704,1.94419012171801,1272,25.240245550926943,136.41000595768844,1272
4350.0,17.86990682506331,2.606975835552351,1814,-17.331238656807884,2.606975835552351,1814,25.320554358945504,2.606975835552351,1814,24.893882849320157,135.87670453424928,1814
4450.0,17.58164463205114,2.836287948780604,1767,-17.84630330686492,2.836287948780604,1767,25.108803537892133,2.836287948780604,1767,25.05204122797882,134.5719892375117,1767
4550.0,17.177972633723453,2.7959541017613296,560,-18.14603975818714,2.7959541017613296,560,19.62340321528097,2.7959541017613296,560,24.9872267911159,133.43018170932427,560
4650.0,17.781929074458937,1.873225610091872,586,-18.56591104743029,1.873225610091872,586,19.93955039735806,1.873225610091872,586,25.707781985814766,133.76438615343318,586
4750.0,16.039572147713503,3.943981599887484,1015,-17.46297117359046,3.943981599887484,1015,27.081255241255427,3.943981599887484,1015,23.711247054749318,132.56717757396234,1015
4850.0,14.919629753442495,5.094923344944932,932,-16.659384967678008,5.094923344944932,932,29.27038989534523,5.094923344944932,932,22.3635967474175,131.84664113249022,932
4950.0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0,-9999.0,-9999.0,0
